シナリオ1

境界ID, 46
----------------
面積, 91.1744, cm^2
サマリー FX, 0.0949861, Newton
サマリー FY, 0.000160226, Newton
サマリー FZ, 0.303675, Newton
力の中心 X-Axis (Y-Z), 25.6133, 5.20556, cm
力の中心 Y-Axis (X-Z), -13.0495, 5.35811, cm
力の中心 Z-Axis (X-Y), -12.8237, 22.1912, cm
サマリー MX, 0.0673806, N-m
サマリー MY, 0.0438869, N-m
サマリー MZ, -0.02435, N-m

境界ID, 45
----------------
面積, 1.11616, cm^2
サマリー FX, 0, Newton
サマリー FY, 0, Newton
サマリー FZ, 0, Newton
サマリー MX, 0, N-m
サマリー MY, 0, N-m
サマリー MZ, 0, N-m

境界ID, 44
----------------
面積, 1416.3, cm^2
サマリー FX, 0.894258, Newton
サマリー FY, 0.000256095, Newton
サマリー FZ, 2.70157, Newton
力の中心 X-Axis (Y-Z), 24.6083, 2.0893, cm
力の中心 Y-Axis (X-Z), -3.89762, 2.42264, cm
力の中心 Z-Axis (X-Y), -4.36673, 24.508, cm
サマリー MX, 0.662096, N-m
サマリー MY, 0.136654, N-m
サマリー MZ, -0.220072, N-m

境界ID, 43
----------------
面積, 5.47906, cm^2
サマリー FX, 1.64198e-05, Newton
サマリー FY, 0.00405539, Newton
サマリー FZ, -1.10595e-05, Newton
力の中心 X-Axis (Y-Z), 50, 2.70605, cm
力の中心 Y-Axis (X-Z), 1.91238, 0.330873, cm
力の中心 Z-Axis (X-Y), 2.43892, 50, cm
サマリー MX, -1.8948e-05, N-m
サマリー MY, 7.14059e-07, N-m
サマリー MZ, 6.93447e-05, N-m

境界ID, 42
----------------
面積, 2988.99, cm^2
サマリー FX, 2.68235, Newton
サマリー FY, -7.9054e-05, Newton
サマリー FZ, 8.63276, Newton
力の中心 X-Axis (Y-Z), 0.197096, 1.03079, cm
力の中心 Y-Axis (X-Z), 0.318046, 0.698791, cm
力の中心 Z-Axis (X-Y), -3.4037, 0.185097, cm
サマリー MX, 0.0159795, N-m
サマリー MY, 0.321482, N-m
サマリー MZ, -0.00528706, N-m

境界ID, 41
----------------
面積, 2.90383, cm^2
サマリー FX, 0, Newton
サマリー FY, 0, Newton
サマリー FZ, 0, Newton
サマリー MX, 0, N-m
サマリー MY, 0, N-m
サマリー MZ, 0, N-m

境界ID, 40
----------------
面積, 3.00753, cm^2
サマリー FX, 0, Newton
サマリー FY, 0, Newton
サマリー FZ, 0, Newton
サマリー MX, 0, N-m
サマリー MY, 0, N-m
サマリー MZ, 0, N-m

境界ID, 39
----------------
面積, 48, cm^2
サマリー FX, 0.0284824, Newton
サマリー FY, -1.71453e-06, Newton
サマリー FZ, -0.0105354, Newton
力の中心 X-Axis (Y-Z), -0.0754103, -5.1139, cm
力の中心 Y-Axis (X-Z), 14.0853, -5.15802, cm
力の中心 Z-Axis (X-Y), 14.1012, -0.0717907, cm
サマリー MX, 7.47501e-06, N-m
サマリー MY, 2.90518e-05, N-m
サマリー MZ, 2.12371e-05, N-m

境界ID, 38
----------------
面積, 9.13918, cm^2
サマリー FX, -0.0014595, Newton
サマリー FY, 2.23493e-07, Newton
サマリー FZ, -9.4876e-05, Newton
力の中心 X-Axis (Y-Z), -2.8451, -5.31154, cm
力の中心 Y-Axis (X-Z), 14.0134, -5.31465, cm
力の中心 Z-Axis (X-Y), 14.0136, -4.8741, cm
サマリー MX, 4.63623e-06, N-m
サマリー MY, 9.08176e-05, N-m
サマリー MZ, -4.14929e-05, N-m

境界ID, 37
----------------
面積, 1.11544, cm^2
サマリー FX, 0, Newton
サマリー FY, 0, Newton
サマリー FZ, 0, Newton
サマリー MX, 0, N-m
サマリー MY, 0, N-m
サマリー MZ, 0, N-m

境界ID, 36
----------------
面積, 2.90391, cm^2
サマリー FX, 0, Newton
サマリー FY, 0, Newton
サマリー FZ, 0, Newton
サマリー MX, 0, N-m
サマリー MY, 0, N-m
サマリー MZ, 0, N-m

境界ID, 35
----------------
面積, 5.44495, cm^2
サマリー FX, 1.14528e-05, Newton
サマリー FY, -0.00418748, Newton
サマリー FZ, -1.16928e-05, Newton
力の中心 X-Axis (Y-Z), -50, 2.4337, cm
力の中心 Y-Axis (X-Z), 1.68456, 0.398069, cm
力の中心 Z-Axis (X-Y), 2.18219, -50, cm
サマリー MX, 2.25155e-05, N-m
サマリー MY, 5.33887e-07, N-m
サマリー MZ, -6.48143e-05, N-m

境界ID, 34
----------------
面積, 91.1066, cm^2
サマリー FX, 0.0908764, Newton
サマリー FY, -0.000128615, Newton
サマリー FZ, 0.321661, Newton
力の中心 X-Axis (Y-Z), -25.1066, 5.20687, cm
力の中心 Y-Axis (X-Z), -12.892, 5.40076, cm
力の中心 Z-Axis (X-Y), -12.8554, -22.1247, cm
サマリー MX, -0.0711596, N-m
サマリー MY, 0.0460825, N-m
サマリー MZ, 0.0228326, N-m

境界ID, 33
----------------
面積, 1416.34, cm^2
サマリー FX, 0.872245, Newton
サマリー FY, -0.000167264, Newton
サマリー FZ, 2.63366, Newton
力の中心 X-Axis (Y-Z), -24.4653, 2.07792, cm
力の中心 Y-Axis (X-Z), -1.74293, 1.45658, cm
力の中心 Z-Axis (X-Y), -4.3453, -24.366, cm
サマリー MX, -0.641714, N-m
サマリー MY, 0.132565, N-m
サマリー MZ, 0.2134, N-m

境界ID, 32
----------------
面積, 120.141, cm^2
サマリー FX, 0.0105129, Newton
サマリー FY, 9.06126e-05, Newton
サマリー FZ, 0.000198957, Newton
力の中心 X-Axis (Y-Z), 9.50389e-05, 2.42776, cm
力の中心 Y-Axis (X-Z), 26.2768, -10.3536, cm
力の中心 Z-Axis (X-Y), 33.341, 0.0256638, cm
サマリー MX, 9.43271e-06, N-m
サマリー MY, 0.000188895, N-m
サマリー MZ, 2.38001e-05, N-m

境界ID, 31
----------------
面積, 180.537, cm^2
サマリー FX, -0.000476565, Newton
サマリー FY, 0.155932, Newton
サマリー FZ, 0.00350314, Newton
力の中心 X-Axis (Y-Z), 0.533177, 1.38269, cm
力の中心 Y-Axis (X-Z), 7.1783, 1.811, cm
力の中心 Z-Axis (X-Y), 3.73799, 0.514901, cm
サマリー MX, -0.00280589, N-m
サマリー MY, -0.000137536, N-m
サマリー MZ, 0.0111958, N-m

境界ID, 30
----------------
面積, 95.293, cm^2
サマリー FX, 0.00540433, Newton
サマリー FY, 0.00132236, Newton
サマリー FZ, 0.0424072, Newton
力の中心 X-Axis (Y-Z), 0.00244854, 6.05985, cm
力の中心 Y-Axis (X-Z), -1.71816, 4.7417, cm
力の中心 Z-Axis (X-Y), -5.49974, 0.00297292, cm
サマリー MX, -6.14417e-05, N-m
サマリー MY, 0.00265978, N-m
サマリー MZ, -2.28527e-05, N-m

境界ID, 29
----------------
面積, 180.518, cm^2
サマリー FX, -0.000454422, Newton
サマリー FY, -0.153797, Newton
サマリー FZ, 0.00342425, Newton
力の中心 X-Axis (Y-Z), -0.532283, 1.30073, cm
力の中心 Y-Axis (X-Z), 7.28, 1.80084, cm
力の中心 Z-Axis (X-Y), 3.7772, -0.515247, cm
サマリー MX, 0.002752, N-m
サマリー MY, -0.000135251, N-m
サマリー MZ, -0.0111989, N-m

境界ID, 28
----------------
面積, 94.4939, cm^2
サマリー FX, -0.000742767, Newton
サマリー FY, 7.05762e-05, Newton
サマリー FZ, -0.0107832, Newton
力の中心 X-Axis (Y-Z), 4.87029e-05, -4.39154, cm
力の中心 Y-Axis (X-Z), 19.6372, -4.42074, cm
力の中心 Z-Axis (X-Y), 20.109, 0.000516308, cm
サマリー MX, 3.06432e-06, N-m
サマリー MY, 0.00220101, N-m
サマリー MZ, 1.38596e-05, N-m

境界ID, 27
----------------
面積, 28.8953, cm^2
サマリー FX, 0, Newton
サマリー FY, 0, Newton
サマリー FZ, 0, Newton
サマリー MX, 0, N-m
サマリー MY, 0, N-m
サマリー MZ, 0, N-m

境界ID, 26
----------------
面積, 0.346486, cm^2
サマリー FX, -7.30018e-05, Newton
サマリー FY, 0.00177563, Newton
サマリー FZ, 0.000295851, Newton
力の中心 X-Axis (Y-Z), 0.314394, 5.09814, cm
力の中心 Y-Axis (X-Z), -11.2038, 5.03822, cm
力の中心 Z-Axis (X-Y), -11.5507, 0.308028, cm
サマリー MX, -8.85489e-05, N-m
サマリー MY, 3.04511e-05, N-m
サマリー MZ, -0.000198709, N-m

境界ID, 25
----------------
面積, 0.497538, cm^2
サマリー FX, 0, Newton
サマリー FY, 0, Newton
サマリー FZ, 0, Newton
サマリー MX, 0, N-m
サマリー MY, 0, N-m
サマリー MZ, 0, N-m

境界ID, 24
----------------
面積, 0.346457, cm^2
サマリー FX, -7.18237e-05, Newton
サマリー FY, -0.00171038, Newton
サマリー FZ, 0.000291908, Newton
力の中心 X-Axis (Y-Z), -0.312254, 5.10342, cm
力の中心 Y-Axis (X-Z), -11.2282, 5.04352, cm
力の中心 Z-Axis (X-Y), -11.575, -0.305859, cm
サマリー MX, 8.53704e-05, N-m
サマリー MY, 3.01228e-05, N-m
サマリー MZ, 0.00019182, N-m

境界ID, 23
----------------
面積, 218.116, cm^2
サマリー FX, 0.0288615, Newton
サマリー FY, 0.0121035, Newton
サマリー FZ, -0.0316122, Newton
力の中心 X-Axis (Y-Z), -0.00238808, -0.093661, cm
力の中心 Y-Axis (X-Z), -21.9972, -0.543127, cm
力の中心 Z-Axis (X-Y), -19.5037, -0.00407584, cm
サマリー MX, 6.70257e-05, N-m
サマリー MY, -0.00619259, N-m
サマリー MZ, -0.00266174, N-m

境界ID, 22
----------------
面積, 28.948, cm^2
サマリー FX, 0, Newton
サマリー FY, 0, Newton
サマリー FZ, 0, Newton
サマリー MX, 0, N-m
サマリー MY, 0, N-m
サマリー MZ, 0, N-m

境界ID, 21
----------------
面積, 111.381, cm^2
サマリー FX, 0.0046338, Newton
サマリー FY, -0.358829, Newton
サマリー FZ, -0.00417182, Newton
力の中心 X-Axis (Y-Z), 0.490198, -0.380182, cm
力の中心 Y-Axis (X-Z), -6.88428, -0.399717, cm
力の中心 Z-Axis (X-Y), -10.1255, 0.47529, cm
サマリー MX, -0.00145413, N-m
サマリー MY, -0.000440035, N-m
サマリー MZ, 0.0246801, N-m

境界ID, 20
----------------
面積, 112.242, cm^2
サマリー FX, -0.00148643, Newton
サマリー FY, 7.22567e-05, Newton
サマリー FZ, 0.0888766, Newton
力の中心 X-Axis (Y-Z), -0.00428083, -5.01228, cm
力の中心 Y-Axis (X-Z), -140.593, -16.6646, cm
力の中心 Z-Axis (X-Y), -7.041, -0.000200823, cm
サマリー MX, 1.18628e-05, N-m
サマリー MY, 0.00633231, N-m
サマリー MZ, -0.000101651, N-m

境界ID, 19
----------------
面積, 111.388, cm^2
サマリー FX, 0.00470995, Newton
サマリー FY, 0.363202, Newton
サマリー FZ, -0.00425226, Newton
力の中心 X-Axis (Y-Z), -0.488997, -0.353836, cm
力の中心 Y-Axis (X-Z), -6.93362, -0.39529, cm
力の中心 Z-Axis (X-Y), -10.1728, -0.47494, cm
サマリー MX, 0.0014559, N-m
サマリー MY, -0.00044924, N-m
サマリー MZ, -0.02516, N-m

境界ID, 18
----------------
面積, 6.16396, cm^2
サマリー FX, 0, Newton
サマリー FY, 0, Newton
サマリー FZ, 0, Newton
サマリー MX, 0, N-m
サマリー MY, 0, N-m
サマリー MZ, 0, N-m

境界ID, 17
----------------
面積, 0.686623, cm^2
サマリー FX, 0, Newton
サマリー FY, 0, Newton
サマリー FZ, 0, Newton
サマリー MX, 0, N-m
サマリー MY, 0, N-m
サマリー MZ, 0, N-m

境界ID, 16
----------------
面積, 6.10848, cm^2
サマリー FX, 0, Newton
サマリー FY, 0, Newton
サマリー FZ, 0, Newton
サマリー MX, 0, N-m
サマリー MY, 0, N-m
サマリー MZ, 0, N-m

境界ID, 15
----------------
面積, 0.833562, cm^2
サマリー FX, 0, Newton
サマリー FY, 0, Newton
サマリー FZ, 0, Newton
サマリー MX, 0, N-m
サマリー MY, 0, N-m
サマリー MZ, 0, N-m

境界ID, 14
----------------
面積, 0.817241, cm^2
サマリー FX, 0, Newton
サマリー FY, 0, Newton
サマリー FZ, 0, Newton
サマリー MX, 0, N-m
サマリー MY, 0, N-m
サマリー MZ, 0, N-m

境界ID, 13
----------------
面積, 30.498, cm^2
サマリー FX, 0.00407602, Newton
サマリー FY, -3.0829e-06, Newton
サマリー FZ, -0.0230386, Newton
力の中心 X-Axis (Y-Z), -4.18027, -0.228945, cm
力の中心 Y-Axis (X-Z), 26.9346, -0.214616, cm
力の中心 Z-Axis (X-Y), 26.8564, -4.1755, cm
サマリー MX, 0.00096197, N-m
サマリー MY, 0.00617801, N-m
サマリー MZ, 0.000169558, N-m

境界ID, 12
----------------
面積, 4.08727, cm^2
サマリー FX, 0.00181425, Newton
サマリー FY, -9.44844e-06, Newton
サマリー FZ, 0.000202907, Newton
力の中心 X-Axis (Y-Z), -4.236, 0.396307, cm
力の中心 Y-Axis (X-Z), 29.3768, 0.409679, cm
