シナリオ1

境界ID, 59
----------------
面積, 0.845991, cm^2
サマリー FX, 0, Newton
サマリー FY, 0, Newton
サマリー FZ, 0, Newton
サマリー MX, 0, N-m
サマリー MY, 0, N-m
サマリー MZ, 0, N-m

境界ID, 58
----------------
面積, 29.6379, cm^2
サマリー FX, 5.38834e-06, Newton
サマリー FY, 3.39951e-06, Newton
サマリー FZ, -0.0270176, Newton
力の中心 X-Axis (Y-Z), 9.45764, -0.1, cm
力の中心 Y-Axis (X-Z), 20.2381, -0.1, cm
力の中心 Z-Axis (X-Y), 20.33, 4.44853, cm
サマリー MX, -0.00120188, N-m
サマリー MY, 0.00549267, N-m
サマリー MZ, 1.78389e-07, N-m

境界ID, 57
----------------
面積, 1.85534, cm^2
サマリー FX, -0.000308001, Newton
サマリー FY, -1.01763e-06, Newton
サマリー FZ, -0.000454811, Newton
力の中心 X-Axis (Y-Z), 2.82981, -0.068728, cm
力の中心 Y-Axis (X-Z), 18.0439, -0.0776841, cm
力の中心 Z-Axis (X-Y), 18.0582, 5.05072, cm
サマリー MX, -2.29721e-05, N-m
サマリー MY, 8.23425e-05, N-m
サマリー MZ, 8.53221e-06, N-m

境界ID, 56
----------------
面積, 29.6676, cm^2
サマリー FX, 7.5424e-05, Newton
サマリー FY, 4.68228e-06, Newton
サマリー FZ, 0.00143623, Newton
力の中心 X-Axis (Y-Z), 4.69283, 0.1, cm
力の中心 Y-Axis (X-Z), 20.3202, 0.1, cm
力の中心 Z-Axis (X-Y), 26.613, 1.55415, cm
サマリー MX, 2.23165e-05, N-m
サマリー MY, -0.000382148, N-m
サマリー MZ, -2.58807e-06, N-m

境界ID, 55
----------------
面積, 0.135078, cm^2
サマリー FX, 0, Newton
サマリー FY, 0, Newton
サマリー FZ, 0, Newton
サマリー MX, 0, N-m
サマリー MY, 0, N-m
サマリー MZ, 0, N-m

境界ID, 54
----------------
面積, 1.42425, cm^2
サマリー FX, 3.95566e-06, Newton
サマリー FY, 0.000711221, Newton
サマリー FZ, -0.000246392, Newton
力の中心 X-Axis (Y-Z), 7.45722, 0.00815673, cm
力の中心 Y-Axis (X-Z), 20.49, -0.0161083, cm
力の中心 Z-Axis (X-Y), 19.9222, 7.44143, cm
サマリー MX, -1.82205e-05, N-m
サマリー MY, 4.9087e-05, N-m
サマリー MZ, 0.000145434, N-m

境界ID, 53
----------------
面積, 1.82765, cm^2
サマリー FX, 0.000969792, Newton
サマリー FY, -3.34022e-06, Newton
